Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
87,Lechonk,,915,♂,349,83,15,8,4,60.0,18.0,18.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,35.31%,2650,94.35%,14400,62,Oinkologne,Male,0,12.36%,3590,94.37%,234400,306,Oinkologne,Male,0,5.23%,3882,86.91%,44400,39,Lechonk,,0,
88,Quaxly,,912,♂,351,75,8,4,10,48.9,13.0,13.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,47.91%,2134,94.47%,20600,147,Quaquaval,,0,31.97%,2787,95.37%,124800,239,Quaquaval,,0,64.93%,1437,93.81%,20600,22,Quaxly,,0,
89,Lechonk,,915,♀,352,84,8,15,1,53.3,19.0,19.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,82.88%,702,96.37%,19000,67,Oinkologne,Female,0,72.31%,1135,96.74%,355000,302,Oinkologne,Female,0,67.50%,1332,93.11%,52000,46,Lechonk,,0,
90,Sprigatito,,906,♂,352,65,0,13,12,55.6,14.0,14.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,99.78%,10,99.22%,239600,282,Floragato,,0,98.63%,57,98.90%,185600,309,Meowscarada,,0,91.09%,366,95.76%,22100,22,Sprigatito,,0,
91,Electrike,,309,♀,359,63,14,8,8,66.7,14.0,14.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,45.96%,2214,94.27%,45100,93,Manectric,Normal,0,66.96%,1354,94.72%,469600,322,Manectric,Normal,0,41.59%,2393,91.70%,22100,22,Electrike,,0,
92,Taillow,,276,♂,361,76,6,8,11,55.6,19.0,19.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2500,65.67%,1407,95.65%,75000,116,Swellow,,0,63.27%,1505,88.77%,480000,302,Swellow,,0,65.18%,1427,93.07%,44000,38,Taillow,,0,
93,Cubone,,104,♂,370,75,7,10,15,71.1,14.0,14.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,87.59%,509,97.17%,109600,148,Marowak,Normal,0,85.86%,580,92.61%,499600,322,Marowak,Normal,0,58.58%,1697,93.34%,17400,18,Cubone,,0,
94,Poochyena,,261,♀,376,78,3,1,6,22.2,25.0,25.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,4000,45.84%,2219,95.02%,72000,114,Mightyena,,0,5.18%,3884,80.33%,444000,270,Mightyena,,0,57.19%,1754,92.21%,130000,132,Poochyena,,0,
95,Smoliv,,928,♀,373,74,0,6,7,28.9,19.0,19.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,66.67%,1366,95.22%,2500,127,Arboliva,,0,72.77%,1116,96.94%,150000,269,Arboliva,,0,74.19%,1058,93.87%,36000,32,Smoliv,,0,
96,Pikachu,Normal,25,,392,67,5,4,11,44.4,17.0,17.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,43.66%,2308,94.13%,52800,96,Raichu,Normal,0,40.15%,2452,87.01%,488800,310,Raichu,Normal,0,64.79%,1443,93.02%,21800,19,Pikachu,Normal,0,
97,Lillipup,,506,♀,376,71,13,13,11,82.2,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,77.12%,938,96.00%,16400,141,Stoutland,,0,33.72%,2715,95.32%,130400,243,Stoutland,,0,18.88%,3323,90.47%,18900,18,Lillipup,,0,
98,Fidough,,926,♂,378,63,15,6,13,75.6,14.0,14.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,27.47%,2971,93.18%,59600,105,Dachsbun,,0,95.21%,197,95.33%,499600,322,Dachsbun,,0,30.74%,2837,90.74%,17400,18,Fidough,,0,
99,Shelmet,,616,,379,80,9,10,5,53.3,18.0,18.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,64.76%,1444,95.59%,26400,224,Accelgor,,0,62.47%,1538,96.06%,412400,456,Accelgor,,0,35.56%,2640,90.40%,29900,27,Shelmet,,0,
100,Fuecoco,,909,♂,380,86,10,5,12,60.0,13.0,13.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,52.84%,1932,95.09%,92800,111,Crocalor,,0,54.63%,1859,96.19%,112800,227,Skeledirge,,0,50.23%,2039,92.60%,14000,16,Fuecoco,,0,
101,Fidough,,926,♂,382,62,12,4,7,51.1,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,17.14%,3394,92.56%,64400,108,Dachsbun,,0,59.37%,1665,89.42%,496400,318,Dachsbun,,0,27.72%,2961,90.51%,18900,18,Fidough,,0,
102,Charmander,,4,,387,67,15,1,12,62.2,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,46.84%,2178,94.60%,16400,141,Charizard,Normal,0,4.13%,3927,93.61%,130400,243,Charizard,Normal,0,2.47%,3995,87.60%,16400,16,Charmander,,0,
103,Wattrel,,940,♂,386,76,13,2,15,66.7,18.0,18.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,31.26%,2816,93.63%,23400,71,Kilowattrel,,0,34.11%,2699,94.73%,372400,306,Kilowattrel,,0,14.02%,3522,89.20%,26400,24,Wattrel,,0,
104,Nidoran♀,,29,♀,389,93,1,12,10,51.1,20.0,20.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,97.44%,106,98.24%,17000,141,Nidoqueen,,0,99.10%,38,99.04%,417000,373,Nidoqueen,,0,97.75%,93,97.34%,35000,31,Nidoran♀,,0,
105,Dedenne,,702,♀,389,64,13,7,6,57.8,8.0,8.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,800,19.37%,3303,93.59%,118600,112,Dedenne,,0,65.57%,1411,89.26%,513600,290,Dedenne,,0,50.87%,2013,92.22%,3600,4,Dedenne,,0,
106,Pidove,,519,,393,83,9,9,10,62.2,18.0,18.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2200,85.57%,592,95.63%,469400,268,Tranquill,,0,60.76%,1608,96.63%,187400,252,Unfezant,,0,40.59%,2434,91.94%,23400,21,Pidove,,0,
107,Natu,,177,♂,394,65,11,13,15,86.7,13.0,13.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,80.10%,816,96.33%,55300,103,Xatu,,0,98.46%,64,96.85%,502800,326,Xatu,,0,44.57%,2271,92.46%,10200,12,Natu,,0,
108,Charmander,,4,♂,395,67,10,12,13,77.8,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,76.56%,961,96.46%,182400,205,Charmeleon,,0,71.09%,1185,96.66%,124400,237,Charizard,Normal,0,41.34%,2403,91.64%,14200,14,Charmander,,0,
109,Charmander,,4,♀,395,66,14,7,11,71.1,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,22.52%,3174,93.67%,182400,205,Charmeleon,,0,27.08%,2987,95.02%,124400,237,Charizard,Normal,0,54.02%,1884,92.48%,16400,16,Charmander,,0,
110,Squirtle,,7,♂,396,71,14,14,12,88.9,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,66.52%,1372,94.35%,288400,293,Wartortle,,0,49.99%,2049,95.45%,288400,393,Blastoise,Normal,0,11.70%,3617,89.11%,14200,14,Squirtle,,0,
111,Bidoof,,399,♂,396,101,9,1,6,35.6,23.0,23.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,3500,9.26%,3717,92.81%,106000,148,Bibarel,,0,19.07%,3315,82.95%,458000,282,Bibarel,,0,27.72%,2961,89.62%,48000,42,Bidoof,,0,
112,Fletchling,,661,♀,401,81,9,6,8,51.1,20.0,20.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,72.70%,1119,94.68%,460000,273,Fletchinder,,0,54.19%,1877,89.00%,475000,373,Talonflame,,0,18.22%,3350,89.20%,27500,25,Fletchling,,0,
113,Fidough,,926,♀,405,66,11,13,15,86.7,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,60.05%,1637,94.82%,56400,101,Dachsbun,,0,98.17%,76,96.84%,496400,318,Dachsbun,,0,83.61%,672,94.85%,14200,14,Fidough,,0,
114,Charmander,,4,♀,405,66,14,13,10,82.2,15.0,15.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1900,66.72%,1364,95.49%,14200,139,Charizard,Normal,0,34.16%,2697,95.30%,112400,225,Charizard,Normal,0,60.05%,1637,92.90%,14200,14,Charmander,,0,
115,Graveler,Alola,75,,406,59,9,11,13,73.3,8.0,8.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,800,87.30%,521,97.10%,31400,136,Golem,Alola,0,65.18%,1427,96.51%,129600,222,Golem,Alola,0,62.71%,1528,92.81%,2600,3,Graveler,Alola,0,
116,Chansey,,113,♀,409,246,4,5,7,35.6,14.0,14.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,1600,48.62%,2105,94.61%,29600,78,Blissey,,0,63.37%,1501,96.29%,269600,322,Blissey,,0,78.51%,881,94.28%,10800,12,Chansey,,0,
117,Rattata,Alola,19,♂,411,67,8,7,4,42.2,23.0,23.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,3000,45.18%,2246,94.72%,170000,203,Raticate,Alola,0,37.29%,2569,85.84%,458000,257,Raticate,Alola,0,24.42%,3096,89.97%,34500,30,Rattata,Alola,0,
118,Patrat,,504,♂,414,83,10,10,11,68.9,20.0,20.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,15000,62.76%,1526,95.45%,85000,124,Watchog,,0,85.05%,613,92.08%,475000,298,Watchog,,0,49.40%,2073,91.71%,24000,22,Patrat,,0,
119,Doduo,,84,♀,417,60,4,15,15,75.6,13.0,13.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1600,88.57%,469,96.83%,44800,94,Dodrio,,0,99.61%,17,99.32%,458800,326,Dodrio,,0,99.58%,18,98.70%,8300,10,Doduo,,0,
120,Sprigatito,,906,♂,419,68,14,10,13,82.2,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,80.68%,792,96.35%,16400,141,Meowscarada,,0,22.12%,3190,94.93%,130400,243,Meowscarada,,0,19.56%,3295,90.08%,9800,10,Sprigatito,,0,
121,Sewaddle,,540,,421,73,10,5,5,44.4,17.0,17.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,58.63%,1695,95.24%,24800,147,Leavanny,,0,25.79%,3040,95.04%,314800,385,Leavanny,,0,26.91%,2994,90.70%,13800,12,Sewaddle,,0,
122,Charmander,,4,♂,423,71,0,2,4,13.3,19.0,19.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,71.65%,1162,96.18%,368000,277,Charmeleon,,0,51.06%,2005,95.91%,201000,335,Charizard,Normal,0,46.35%,2198,91.98%,16000,14,Charmander,,0,
123,Charmander,,4,♀,425,69,1,12,4,37.8,18.0,18.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,97.07%,121,97.91%,9400,133,Charizard,Normal,0,88.60%,468,97.54%,170400,293,Charizard,Normal,0,88.45%,474,95.30%,14400,12,Charmander,,0,
124,Hoppip,,187,,428,82,9,15,6,66.7,28.0,28.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,51.99%,1967,94.81%,140000,281,Jumpluff,,0,80.68%,792,91.41%,419000,323,Jumpluff,,0,54.85%,1850,91.42%,81000,80,Hoppip,,0,
125,Dwebble,,557,♀,429,70,8,4,4,35.6,14.0,14.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1600,42.47%,2357,94.73%,38600,87,Crustle,,0,35.73%,2633,95.31%,387600,322,Crustle,,0,23.71%,3125,90.50%,7000,8,Dwebble,,0,
126,Drowzee,,96,♀,431,90,1,4,4,20.0,18.0,18.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,88.21%,484,97.06%,74400,116,Hypno,,0,3.64%,3947,82.01%,484400,306,Hypno,,0,69.21%,1262,94.13%,11900,10,Drowzee,,0,
127,Sprigatito,,906,♂,444,69,8,11,7,57.8,17.0,17.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,61.93%,1560,95.38%,11300,135,Meowscarada,,0,55.78%,1812,96.22%,158800,277,Meowscarada,,0,58.39%,1705,92.87%,8800,8,Sprigatito,,0,
128,Growlithe,Normal,58,,448,76,1,8,2,24.4,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,49.87%,2054,95.00%,16400,66,Arcanine,Normal,0,54.19%,1877,96.19%,144400,184,Arcanine,Normal,0,75.12%,1020,94.76%,5700,6,Growlithe,Normal,0,
129,Quaxly,,912,,449,82,14,12,14,88.9,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,65.05%,1432,95.25%,9800,135,Quaquaval,,0,15.87%,3446,94.65%,86400,203,Quaquaval,,0,40.61%,2433,92.16%,5700,6,Quaxly,,0,
130,Fuecoco,,909,♂,451,93,7,15,14,80.0,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,97.88%,88,98.69%,12000,137,Skeledirge,,0,90.13%,405,97.86%,96400,211,Skeledirge,,0,93.53%,266,96.35%,5700,6,Fuecoco,,0,
131,Helioptile,,694,♀,455,81,4,6,10,44.4,20.0,20.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,91.87%,334,97.22%,11000,60,Heliolisk,,0,62.47%,1538,96.42%,301000,298,Heliolisk,,0,42.05%,2374,92.22%,8000,7,Helioptile,,0,
132,Diglett,Normal,50,♀,460,52,15,11,11,82.2,25.0,25.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,3500,39.98%,2459,94.51%,174000,240,Dugtrio,Normal,0,95.48%,186,94.57%,444000,270,Dugtrio,Normal,0,46.40%,2196,91.93%,16000,14,Diglett,Normal,0,
133,Delibird,,225,♂,461,71,4,12,2,40.0,17.0,17.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,4000,39.88%,2463,81.45%,488800,260,Delibird,,0,39.88%,2463,81.45%,488800,260,Delibird,,0,40.76%,2427,92.04%,4400,4,Delibird,,0,
134,Eevee,,133,♂,461,87,6,7,12,55.6,17.0,17.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,94.75%,216,97.24%,6600,31,Flareon,,0,78.02%,901,97.11%,104800,117,Flareon,,0,43.79%,2303,92.09%,4400,4,Eevee,,0,
135,Pikachu,Normal,25,,444,66,9,7,3,42.2,19.0,19.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2500,16.14%,3435,92.69%,44000,88,Raichu,Normal,0,30.67%,2840,85.93%,480000,302,Raichu,Normal,0,12.19%,3597,89.04%,10000,8,Pikachu,Normal,0,
136,Venipede,,543,♂,464,79,9,2,15,57.8,26.0,26.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,4000,74.33%,1052,88.23%,436000,239,Whirlipede,,0,48.13%,2125,95.43%,337000,339,Scolipede,,0,50.74%,2018,91.79%,17000,16,Venipede,,0,
137,Staryu,,120,,473,60,10,13,14,82.2,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,46.18%,2205,94.78%,23900,72,Starmie,Normal,0,78.22%,893,96.98%,236400,303,Starmie,Normal,0,69.21%,1262,93.98%,1900,2,Staryu,,0,
138,Tepig,,498,♂,474,99,1,0,8,20.0,19.0,19.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,86.84%,540,97.17%,5000,129,Emboar,,0,56.48%,1783,96.06%,166000,289,Emboar,,0,81.54%,757,95.50%,5000,4,Tepig,,0,
139,Oricorio,Sensu,741,♀,474,68,8,4,2,31.1,8.0,8.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,800,9.89%,3691,92.79%,66100,67,Oricorio,Sensu,0,13.75%,3533,88.62%,513600,290,Oricorio,Sensu,0,6.96%,3811,88.04%,0,0,Oricorio,Sensu,0,
140,Lillipup,,506,♂,477,84,7,11,14,71.1,20.0,20.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,2200,78.78%,870,96.59%,245000,273,Herdier,,0,89.43%,434,97.70%,137000,255,Stoutland,,0,51.06%,2005,92.90%,2500,2,Lillipup,,0,
141,Oricorio,Pa'u,741,,479,70,5,8,7,44.4,8.0,8.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,800,76.14%,978,96.20%,66100,67,Oricorio,Pa'u,0,38.75%,2509,92.00%,513600,290,Oricorio,Pa'u,0,40.46%,2439,91.70%,0,0,Oricorio,Pa'u,0,
142,Eevee,,133,♂,484,85,13,6,9,62.2,17.0,17.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,3000,63.59%,1492,95.36%,2200,27,Glaceon,,0,33.87%,2709,95.39%,93800,107,Flareon,,0,32.19%,2778,91.26%,2200,2,Eevee,,0,
143,Hatenna,,856,♀,485,83,12,2,10,53.3,22.0,22.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,3000,23.42%,3137,93.32%,204000,248,Hattrem,,0,16.65%,3414,94.59%,134000,255,Hatterene,,0,20.85%,3242,90.05%,3000,3,Hatenna,,0,
144,Taillow,,276,♀,488,85,14,8,11,73.3,24.0,24.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,3500,45.62%,2228,94.68%,36500,82,Swellow,,0,86.96%,535,92.49%,451000,276,Swellow,,0,34.38%,2688,90.80%,3500,3,Taillow,,0,
145,Geodude,Alola,74,♀,489,69,0,10,15,55.6,15.0,15.0,,,,"2026-09-25 00:32","2026-09-25 00:32",,,,0,0,0,1900,98.24%,73,98.56%,106400,119,Graveler,Alola,0,97.07%,121,98.42%,144400,259,Golem,Alola,0,88.28%,481,95.87%,0,0,Geodude,Alola,0,
146,Stunky,,434,♂,492,88,12,3,0,33.3,17.0,17.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2200,2.66%,3987,91.71%,37800,84,Skuntank,,0,20.51%,3256,90.62%,488800,310,Skuntank,,0,6.57%,3827,89.20%,0,0,Stunky,,0,
147,Clobbopus,,852,♂,494,80,4,4,5,28.9,18.0,18.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2200,19.90%,3281,93.50%,17400,65,Grapploct,,0,61.34%,1584,96.32%,310400,306,Grapploct,,0,57.05%,1760,93.34%,0,0,Clobbopus,,0,
148,Fuecoco,,909,♀,495,93,9,11,3,51.1,17.0,17.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2200,30.84%,2833,93.89%,78800,95,Crocalor,,0,59.49%,1660,96.38%,104800,217,Skeledirge,,0,46.76%,2181,92.33%,0,0,Fuecoco,,0,
149,Mankey,,56,♀,496,69,14,15,15,97.8,15.0,15.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1900,90.55%,388,97.19%,38400,86,Primeape,,0,99.07%,39,98.88%,424400,318,Primeape,,0,73.99%,1066,94.06%,0,0,Mankey,,0,
150,Pikachu,Normal,25,♀,496,76,3,3,11,37.8,22.0,22.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3000,67.18%,1345,95.19%,32000,78,Raichu,Normal,0,27.69%,2962,85.57%,464000,288,Raichu,Normal,0,75.56%,1002,93.86%,0,0,Pikachu,Normal,0,
151,Chikorita,,152,♂,498,85,3,0,6,20.0,23.0,23.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3000,58.49%,1701,95.31%,10500,134,Meganium,,0,4.62%,3907,90.76%,458000,357,Meganium,,0,63.98%,1476,93.54%,0,0,Chikorita,,0,
152,Gothita,,574,♂,501,82,13,14,13,88.9,19.0,19.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,800,60.73%,1609,95.11%,16000,139,Gothitelle,,0,68.47%,1292,95.94%,318000,377,Gothitelle,,0,,,,,,,,,
153,Spearow,,21,,508,83,10,14,8,71.1,24.0,24.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3500,67.40%,1336,95.49%,27500,74,Fearow,,0,88.89%,456,92.91%,451000,276,Fearow,,0,,,,,,,,,
154,Trubbish,,568,♂,512,85,12,12,9,73.3,19.0,19.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2500,37.48%,2561,94.33%,22000,70,Garbodor,,0,82.25%,728,96.60%,422000,302,Garbodor,,0,,,,,,,,,
155,Fidough,,926,♀,515,75,4,10,10,53.3,21.0,21.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2500,63.25%,1506,94.98%,42000,88,Dachsbun,,0,55.07%,1841,88.94%,470000,294,Dachsbun,,0,,,,,,,,,
156,Ponyta,Normal,77,♀,517,66,14,10,13,82.2,11.0,11.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1300,32.65%,2759,93.79%,41000,93,Rapidash,Normal,0,44.76%,2263,95.40%,322000,334,Rapidash,Normal,0,,,,,,,,,
157,Lechonk,,915,♂,524,110,7,3,7,37.8,30.0,30.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,5000,22.98%,3155,75.76%,400000,182,Lechonk,,0,38.75%,2509,95.63%,238000,232,Oinkologne,Male,0,,,,,,,,,
158,Fidough,,926,♀,531,75,11,12,12,77.8,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,15000,70.77%,1198,95.37%,39000,84,Dachsbun,,0,94.36%,232,95.00%,475000,298,Dachsbun,,0,,,,,,,,,
159,Rookidee,,821,♀,534,97,6,8,12,57.8,35.0,35.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,7000,64.25%,1465,89.74%,338000,143,Corvisquire,,0,81.51%,758,96.96%,266000,243,Corviknight,,0,,,,,,,,,
160,Lillipup,,506,♀,534,84,7,7,1,33.3,24.0,24.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3500,25.01%,3072,93.62%,313000,251,Herdier,,0,27.18%,2983,95.03%,154000,285,Stoutland,,0,,,,,,,,,
161,Chimchar,,390,♂,534,84,15,11,14,88.9,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3500,53.75%,1895,94.95%,187000,219,Monferno,,0,51.70%,1979,95.95%,153000,275,Infernape,,0,,,,,,,,,
162,Fidough,,926,♂,539,76,11,14,14,86.7,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,15000,51.31%,1995,94.37%,35000,81,Dachsbun,,0,97.80%,91,96.56%,475000,298,Dachsbun,,0,,,,,,,,,
163,Geodude,Alola,74,♂,544,70,3,6,8,37.8,17.0,17.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3000,88.55%,470,97.18%,11300,135,Golem,Alola,0,73.28%,1095,96.85%,150800,267,Golem,Alola,0,,,,,,,,,
164,Lillipup,,506,♂,544,83,10,12,3,55.6,23.0,23.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3000,33.63%,2719,94.14%,239000,257,Herdier,,0,34.97%,2664,95.37%,128000,249,Stoutland,,0,,,,,,,,,
165,Spritzee,,682,♂,545,104,11,14,10,77.8,16.0,16.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1900,60.39%,1623,95.40%,34600,82,Aromatisse,,0,91.06%,367,97.35%,434600,314,Aromatisse,,0,,,,,,,,,
166,Exeggcute,,102,♂,549,88,14,15,5,75.6,17.0,17.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1900,18.17%,3352,93.04%,2200,52,Exeggutor,Normal,0,20.98%,3237,94.75%,83800,124,Exeggutor,Normal,0,,,,,,,,,
167,Corsola,Galar,222,♀,549,83,1,9,6,35.6,15.0,15.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1900,53.68%,1898,95.12%,14200,64,Cursola,,0,79.58%,837,97.22%,124400,162,Cursola,,0,,,,,,,,,
168,Smoliv,,928,♂,552,86,1,14,4,42.2,27.0,27.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4000,32.99%,2745,90.40%,428000,231,Dolliv,,0,89.33%,438,97.79%,83000,205,Arboliva,,0,,,,,,,,,
169,Swablu,,333,♀,558,89,10,9,1,44.4,27.0,27.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4000,6.59%,3826,91.68%,9000,408,Altaria,Normal,0,39.19%,2491,87.22%,428000,606,Altaria,Normal,0,,,,,,,,,
170,Taillow,,276,♀,558,93,4,13,10,60.0,29.0,29.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4500,92.55%,306,97.42%,5000,54,Swellow,,0,76.17%,977,90.52%,410000,240,Swellow,,0,,,,,,,,,
171,Chansey,,113,♀,559,293,2,2,4,17.8,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,1600,44.42%,2277,94.38%,8000,57,Blissey,,0,73.72%,1077,96.89%,301000,298,Blissey,,0,,,,,,,,,
172,Scorbunny,,813,♂,563,90,2,13,14,64.4,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,2500,99.66%,15,99.56%,103000,117,Raboot,,0,99.56%,19,99.29%,91000,205,Cinderace,,0,,,,,,,,,
173,Tympole,,535,♀,565,95,12,5,0,37.8,27.0,27.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4000,33.85%,2710,87.59%,428000,231,Palpitoad,,0,5.89%,3855,93.83%,266000,331,Seismitoad,,0,,,,,,,,,
174,Larvitar,,246,♀,565,88,11,14,11,80.0,20.0,20.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,4000,57.02%,1761,95.60%,91000,105,Pupitar,,0,36.73%,2592,95.28%,17000,141,Tyranitar,Normal,0,,,,,,,,,
175,Lillipup,,506,♂,567,86,11,4,1,35.6,25.0,25.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,0,0,3500,4.44%,3914,92.07%,282000,245,Herdier,,0,7.35%,3795,93.96%,138000,267,Stoutland,,0,,,,,,,,,
176,Tyrunt,,696,♂,567,79,4,15,14,73.3,13.0,13.0,,,,"2026-09-25 00:31","2026-09-25 00:31",,,,0,1,0,1921,97.02%,123,98.08%,19444,77,Tyrantrum,,1,97.44%,106,98.70%,33600,78,Tyrantrum,,2,,,,,,,,,
